®É¶¡,x,y,z,roll,pitch,»~®t­È
14:58:35,-0.01,-0.02,-1.13,179.05,-0.67,0.16
14:58:36,0.01,0.02,-0.91,-179.99,-0.16,0.22
14:58:36,0.02,-0.02,-1.25,179.51,0.42,0.34
14:58:50,0,-0.03,-1.14,179.17,-0.31,0.11
14:58:57,0.03,0.05,-1.01,-177.94,0.67,0.13
14:59:18,0,0,-1,-180,0,0.01
14:59:18,-0.01,0.04,-1.25,-178.72,-0.26,0.25
14:59:19,0.02,0.04,-1.08,-178.4,0.34,0.17
14:59:19,0.01,0.07,-1.13,-176.9,0.51,0.05
14:59:20,0,0.02,-1.1,-178.5,0.13,0.03
14:59:20,-0.03,0.03,-1.23,-178.62,-0.64,0.13
14:59:20,0.02,0.07,-0.87,-177.1,0.31,0.36
14:59:21,-0.02,0.08,-0.95,-176.22,-0.53,0.08
14:59:21,0.02,0.04,-1.23,-177.41,0.17,0.28
14:59:21,0,0.03,-1.07,-177.97,0.09,0.16
14:59:23,0.08,0.05,-0.91,-177.55,2.28,0.16
14:59:24,0.01,0.04,-1.11,-177.87,0.67,0.2
14:59:24,0,-0.02,-0.98,-179.74,0.42,0.13
14:59:25,0,0.04,-1.24,-178.87,0.29,0.26
14:59:25,0.02,0.06,-0.93,-177.74,0.7,0.31
14:59:26,0,0.04,-0.89,-177.6,0.47,0.04
14:59:26,0.05,0.02,-1.08,-178.21,1.63,0.19
14:59:27,-0.01,0.02,-1.23,-178.59,0.55,0.15
14:59:27,0,0.09,-0.86,-176.73,0.42,0.37
14:59:27,0,0.05,-1.15,-177.13,0.09,0.29
14:59:28,0,-0.01,-1.16,-178.92,-0.06,0.01
14:59:28,0.04,0.05,-0.81,-177.74,1.25,0.35
14:59:28,-0.01,0.09,-0.97,-176.34,0.27,0.16
14:59:29,0,0.05,-1.23,-176.97,0.02,0.26
14:59:29,0.02,0.03,-0.89,-177.54,0.57,0.34
14:59:29,0.02,0.02,-1.18,-178.46,0.67,0.29
14:59:30,-0.01,0.05,-0.99,-177.13,0.53,0.19
14:59:30,-0.01,0.07,-1.22,-176.89,-0.07,0.23
14:59:31,0.01,0.05,-1.13,-177.16,0.17,0.09
14:59:31,0.03,0.05,-0.84,-176.77,0.9,0.29
14:59:32,0,0.04,-1.25,-177.12,-0.25,0.41
